policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
fileaware,52,522,478,0.000000,0.0000,125,125,114,114,0,0.432551,0.000000,5832
fileaware,53,534,466,0.000000,0.0000,125,125,120,120,44,0.421501,0.259150,6072
fileaware,54,544,456,0.000000,0.0000,125,125,124,124,90,0.416671,0.307199,6240
fileaware,54,548,452,0.000000,0.0000,125,125,127,127,137,0.410016,0.295358,6352
fileaware,58,580,420,0.000000,0.0000,125,125,131,131,183,0.420093,0.305201,6608
fileaware,60,605,395,0.000000,0.0000,125,125,137,137,227,0.420825,0.301846,6900
fileaware,62,620,380,0.000000,0.0000,125,125,142,142,272,0.417508,0.307483,7120
fileaware,64,643,357,0.000000,0.0000,125,125,149,149,315,0.414076,0.299776,7436
fileaware,65,657,343,0.000000,0.0000,125,125,155,155,359,0.407660,0.284431,7684
fileaware,67,670,330,0.000000,0.0000,125,125,158,158,406,0.408908,0.302000,7832
fileaware,71,716,284,0.000000,0.0000,125,125,163,163,451,0.425083,0.299619,8176
