policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
rand,50,506,494,0.000000,0.0000,125,125,119,119,0,0.413250,0.000000,5928
rand,53,536,464,0.000000,0.0000,125,125,128,128,41,0.407364,0.117581,6336
rand,54,546,454,0.000000,0.0000,125,125,132,132,87,0.402923,0.218461,6504
rand,56,564,436,0.000000,0.0000,125,125,138,138,131,0.399262,0.221335,6768
rand,58,583,417,0.000000,0.0000,125,125,145,145,174,0.394383,0.255648,7068
rand,59,591,409,0.000000,0.0000,125,125,150,150,219,0.386772,0.239572,7260
rand,63,639,361,0.000000,0.0000,125,125,155,155,264,0.405207,0.242403,7612
rand,66,661,339,0.000000,0.0000,125,125,160,160,309,0.405801,0.246206,7860
rand,69,696,304,0.000000,0.0000,125,125,165,165,354,0.413681,0.275729,8160
rand,73,734,266,0.000000,0.0000,125,125,171,171,398,0.421017,0.276779,8504
rand,75,759,241,0.000000,0.0000,125,125,179,179,440,0.416145,0.271718,8860
