policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
roundrobin,50,501,499,0.000000,0.0000,125,125,100,100,0,0.450305,0.000000,5300
roundrobin,50,507,493,0.000000,0.0000,125,125,104,104,46,0.438629,0.234571,5452
roundrobin,54,542,458,0.000000,0.0000,125,125,112,112,88,0.438420,0.275676,5848
roundrobin,55,554,446,0.000000,0.0000,125,125,115,115,135,0.437942,0.289426,5992
roundrobin,59,593,407,0.000000,0.0000,125,125,121,121,179,0.447344,0.294345,6340
roundrobin,60,606,394,0.000000,0.0000,125,125,127,127,223,0.436787,0.336946,6584
roundrobin,61,612,388,0.000000,0.0000,125,125,131,131,269,0.428389,0.338621,6736
roundrobin,62,627,373,0.000000,0.0000,125,125,136,136,314,0.423299,0.341500,6956
roundrobin,65,652,348,0.000000,0.0000,125,125,142,142,358,0.421935,0.338402,7248
roundrobin,68,685,315,0.000000,0.0000,125,125,147,147,403,0.429747,0.343102,7540
roundrobin,68,687,313,0.000000,0.0000,125,125,148,148,452,0.428249,0.331100,7580
