policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
sequential,50,501,499,0.000000,0.0000,125,125,100,100,0,0.490732,0.000000,5300
sequential,50,507,493,0.000000,0.0000,125,125,104,104,46,0.477485,0.319564,5452
sequential,54,542,458,0.000000,0.0000,125,125,112,112,88,0.472698,0.301630,5848
sequential,55,554,446,0.000000,0.0000,125,125,115,115,135,0.469637,0.316488,5992
sequential,59,593,407,0.000000,0.0000,125,125,121,121,179,0.473548,0.304231,6340
sequential,60,606,394,0.000000,0.0000,125,125,127,127,223,0.461810,0.327393,6584
sequential,61,612,388,0.000000,0.0000,125,125,131,131,269,0.453052,0.336474,6736
sequential,62,627,373,0.000000,0.0000,125,125,136,136,314,0.449781,0.338104,6956
sequential,65,652,348,0.000000,0.0000,125,125,142,142,358,0.447388,0.336977,7248
sequential,68,685,315,0.000000,0.0000,125,125,147,147,403,0.454502,0.341266,7540
sequential,68,687,313,0.000000,0.0000,125,125,148,148,452,0.452635,0.329859,7580
