policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
weightedroundrobin,50,501,499,0.000000,0.0000,125,125,100,100,0,0.458147,0.000000,5300
weightedroundrobin,50,507,493,0.000000,0.0000,125,125,104,104,46,0.446601,0.251757,5452
weightedroundrobin,54,542,458,0.000000,0.0000,125,125,112,112,88,0.446442,0.288225,5848
weightedroundrobin,55,554,446,0.000000,0.0000,125,125,115,115,135,0.446336,0.300496,5992
weightedroundrobin,59,593,407,0.000000,0.0000,125,125,121,121,179,0.455139,0.301248,6340
weightedroundrobin,60,606,394,0.000000,0.0000,125,125,127,127,223,0.444897,0.343809,6584
weightedroundrobin,61,612,388,0.000000,0.0000,125,125,131,131,269,0.436166,0.343943,6736
weightedroundrobin,62,627,373,0.000000,0.0000,125,125,136,136,314,0.431969,0.347100,6956
weightedroundrobin,65,652,348,0.000000,0.0000,125,125,142,142,358,0.431880,0.343470,7248
weightedroundrobin,68,685,315,0.000000,0.0000,125,125,147,147,403,0.439123,0.347925,7540
weightedroundrobin,68,687,313,0.000000,0.0000,125,125,148,148,452,0.437655,0.335434,7580
