policy,num_nodes,distribution,block_size_bytes,total_capacity_mb,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
roundrobin,2,uniform_large,32768,64,499,0.243857,0.464178,232.157152,0.000000,19.22
leastloaded,2,uniform_large,32768,64,499,0.231897,0.429358,244.131020,0.000000,19.22
sequential,2,uniform_large,32768,64,499,0.223789,0.395144,252.976041,0.000000,19.22
fileaware,2,uniform_large,32768,64,498,0.211996,0.395787,268.472889,0.000000,19.20
roundrobin,4,uniform_large,32768,64,499,0.248240,0.441433,228.058765,0.000000,19.22
leastloaded,4,uniform_large,32768,64,499,0.243650,0.431888,232.354347,0.000000,19.22
sequential,4,uniform_large,32768,64,499,0.227079,0.427996,249.310535,0.000000,19.22
fileaware,4,uniform_large,32768,64,485,0.243570,0.437898,237.817908,0.000000,18.76
roundrobin,8,uniform_large,32768,64,499,0.247894,0.470463,228.376994,0.000000,19.22
leastloaded,8,uniform_large,32768,64,499,0.272129,0.443316,208.038029,0.000000,19.22
sequential,8,uniform_large,32768,64,499,0.236949,0.395413,238.925792,0.000000,19.22
fileaware,8,uniform_large,32768,64,499,0.255729,0.444831,219.420455,0.000000,19.19
roundrobin,16,uniform_large,32768,64,499,0.255387,0.465067,221.676019,0.000000,19.22
leastloaded,16,uniform_large,32768,64,499,0.270060,0.466293,209.631923,0.000000,19.22
sequential,16,uniform_large,32768,64,499,0.253325,0.428225,223.480605,0.000000,19.22
fileaware,16,uniform_large,32768,64,476,0.254005,0.444494,227.190488,0.000000,18.40

