policy,num_nodes,distribution,block_size_bytes,total_capacity_mb,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
roundrobin,2,uniform_large,32768,16,283,0.232012,0.480257,243.681700,0.000000,10.94
leastloaded,2,uniform_large,32768,16,283,0.234782,0.440203,240.806608,0.000000,10.94
sequential,2,uniform_large,32768,16,281,0.228978,0.428534,246.725454,0.000000,10.86
fileaware,2,uniform_large,32768,16,278,0.217888,0.414761,263.628193,0.000000,10.78
roundrobin,4,uniform_large,32768,16,283,0.223478,0.420095,252.987863,0.000000,10.94
leastloaded,4,uniform_large,32768,16,283,0.245633,0.420894,230.168932,0.000000,10.94
sequential,4,uniform_large,32768,16,277,0.234926,0.424329,240.109550,0.000000,10.70
fileaware,4,uniform_large,32768,16,279,0.248623,0.429063,230.661476,0.000000,10.81
roundrobin,8,uniform_large,32768,16,283,0.249582,0.448865,226.527530,0.000000,10.94
leastloaded,8,uniform_large,32768,16,283,0.250936,0.403765,225.304854,0.000000,10.94
sequential,8,uniform_large,32768,16,276,0.231416,0.420227,243.655754,0.000000,10.66
fileaware,8,uniform_large,32768,16,278,0.236055,0.463536,243.815873,0.000000,10.78
roundrobin,16,uniform_large,32768,16,283,0.231944,0.415245,243.753301,0.000000,10.94
leastloaded,16,uniform_large,32768,16,283,0.240089,0.448166,235.484346,0.000000,10.94
sequential,16,uniform_large,32768,16,276,0.241919,0.391928,233.077868,0.000000,10.66
fileaware,16,uniform_large,32768,16,279,0.251246,0.462730,227.807189,0.000000,10.81
